nome_x,nome_regiao,quantidade_nascimentos_ate_2010
Adonias,Nordeste,2583
Adonildo,Nordeste,17
Adonilson,Sudeste,17
Adonir,Sul,38
Adoniram,Sudeste,12
Adoniran,Sudeste,50
Adonis,Sudeste,309
Adoracao,Sudeste,22
Adoracion,Sudeste,14
Adorilde,Sul,15
Adosinda,Sudeste,22
Adozinda,Sudeste,35
Adra,Norte,13
Adrana,Sudeste,206
Adrano,Sudeste,63
Adre,Sudeste,141
Adrea,Sudeste,279
Adreana,Sudeste,12
Adrei,Sudeste,37
Adreia,Sudeste,890
Adrele,Nordeste,10
Adreli,Sudeste,11
Adrelina,Nordeste,14
Adresa,Sudeste,48
Adressa,Sudeste,297
Adrew,Sudeste,11
Adrey,Sudeste,13
Adreza,Nordeste,68
Adri,Sudeste,18
Adria,Norte,5281
Adriaa,Sudeste,18
Adrialisson,Nordeste,12
Adriam,Sudeste,36
Adrian,Sudeste,8134
Adriana,Sudeste,273818
Adriane,Sul,13339
Adriangela,Nordeste,12
Adriani,Sul,311
Adrianna,Sudeste,31
Adrianne,Sudeste,80
Adrianny,Norte,13
Adriano,Sudeste,137179
Adriany,Sudeste,73
Adriao,Sudeste,50
Adricia,Nordeste,142
Adrieida,Norte,39
Adriel,Nordeste,5216
Adriela,Nordeste,25
Adriele,Nordeste,22035
Adrielen,Sudeste,32
Adrielhe,Norte,11
Adrieli,Sudeste,4287
Adrielle,Sudeste,1690
Adriellen,Sudeste,12
Adrielli,Sudeste,212
Adrielly,Sudeste,1004
Adrielma,Norte,21
Adrielson,Norte,578
Adriely,Nordeste,643
Adrien,Sudeste,73
Adriene,Sudeste,1488
Adrieni,Norte,23
Adrienne,Sudeste,67
Adrienny,Norte,12
Adrile,Nordeste,14
Adrilena,Norte,10
Adrilene,Norte,48
Adrina,Sudeste,759
Adrine,Norte,99
Adrino,Sudeste,237
Adrio,Norte,45
Adrisio,Nordeste,10
Adrison,Norte,35
Adrizia,Nordeste,11
Adroaldo,Sul,1663
Adroir,Sul,14
Adrovanio,Nordeste,10
Adrya,Norte,83
Adryan,Sudeste,178
Adryel,Sudeste,32
Adryele,Sudeste,21
Adryelle,Sudeste,27
Adsom,Nordeste,19
Adson,Nordeste,4329
Adua,Sudeste,18
Aduardo,Sudeste,14
Aduilson,Nordeste,75
Adulce,Sul,10
Aduzinda,Sudeste,20
Adva,Centro-Oeste,12
Advair,Centro-Oeste,38
Advaldo,Sudeste,309
Advan,Sudeste,27
Advania,Sudeste,19
Ady,Sudeste,68
Adyr,Sudeste,87
Ae,Sudeste,17
Aecio,Sudeste,1029
Aedson,Sudeste,10
Aelcio,Sudeste,105
Aelia,Sudeste,11
Aelio,Nordeste,26
Aelita,Sudeste,12
Aeliton,Sudeste,11
Aelso,Sudeste,14
Aelson,Nordeste,662
Aelton,Sudeste,88
Aender,Sudeste,105
Aenderson,Sudeste,18
Aercio,Sudeste,114
Aerton,Nordeste,81
Aesio,Sudeste,19
Aessandra,Sudeste,38
Aessandro,Sudeste,12
Aex,Sudeste,43
Aexandra,Sudeste,17
Aexandre,Sudeste,193
Aexandro,Sudeste,13
Afabio,Sudeste,11
Afelipe,Sudeste,10
Affonso,Sudeste,274
Afif,Sudeste,14
Afoncina,Sudeste,21
Afonco,Sudeste,49
Afonsa,Sudeste,30
Afonsina,Sudeste,204
Afonso,Sudeste,18280
Afonson,Sudeste,10
Afra,Sudeste,151
Afrancisco,Sudeste,13
Afranio,Sudeste,1816
Afredo,Sudeste,23
Afro,Sudeste,11
Agabriel,Sudeste,20
Agaci,Nordeste,17
Agacir,Sul,12
Agada,Sudeste,17
Agamenom,Sudeste,21
Agamenon,Sudeste,313
Agape,Norte,10
Agapito,Sudeste,64
Agar,Sudeste,39
Agata,Sudeste,10754
Agatangelo,Nordeste,13
Agath,Sudeste,10
Agatha,Sudeste,7269
Agda,Sudeste,3255
Agdo,Sudeste,22
Agel,Norte,39
Agela,Sudeste,20
Agelica,Sudeste,31
Agelina,Sudeste,20
Agelita,Sudeste,11
Agemir,Sudeste,13
Agemira,Sudeste,28
Agemiro,Sudeste,405
Agenaldo,Sudeste,12
Agenario,Sudeste,51
Ageni,Sudeste,13
Agenilda,Sudeste,29
Agenildo,Nordeste,145
Agenilson,Nordeste,30
Agenir,Sudeste,36
Agenor,Sudeste,7381
Agenora,Sudeste,19
Ageo,Sudeste,24
Ageu,Sudeste,674
Aghata,Sudeste,1041
Aghatta,Sudeste,12
Aghta,Sudeste,10
Agilberto,Sudeste,11
Agildo,Sudeste,214
Agileu,Sudeste,18
Agilson,Sudeste,136
Agimiro,Sudeste,20
Aginaldo,Sudeste,189
Agivaldo,Sudeste,10
Aglaci,Sul,23
Aglacir,Sul,19
Aglae,Sul,76
Aglaer,Sudeste,11
Aglaia,Sudeste,36
Aglailson,Nordeste,156
Aglailton,Nordeste,60
Aglair,Sul,134
Aglairton,Nordeste,16
Aglais,Nordeste,52
Aglesio,Nordeste,10
Agmar,Sudeste,479
Agmon,Sudeste,11
Agna,Sudeste,158
Agnado,Sudeste,17
Agnailda,Sudeste,29
Agnailde,Nordeste,15
Agnaildo,Sudeste,17
Agnailton,Nordeste,30
Agnair,Sudeste,10
Agnalda,Sudeste,43
Agnaldo,Sudeste,30425
Agne,Sudeste,22
Agnel,Centro-Oeste,27
Agnela,Sudeste,10
Agnelio,Sudeste,16
Agnello,Sudeste,20
Agnelo,Sudeste,370
Agner,Sudeste,100
Agnes,Sudeste,2925
Agnis,Sudeste,29
Agno,Sudeste,43
Agnolia,Nordeste,24
Agnor,Sudeste,26
Agnus,Norte,12
Agostim,Sudeste,10
Agostin,Sudeste,25
Agostina,Sudeste,74
Agostinha,Sudeste,324
Agostinho,Sudeste,5179
Agostino,Sudeste,122
Agostnho,Sudeste,17
Agricio,Nordeste,95
Agricola,Centro-Oeste,13
Agrimaldo,Sudeste,100
Agrimar,Sudeste,31
Agrinaldo,Nordeste,51
Agripina,Sudeste,256
Agripino,Nordeste,483
Agta,Sudeste,155
Agtha,Sudeste,110
Aguata,Sudeste,11
Agueda,Sudeste,120
Aguiar,Sudeste,63
Aguida,Sudeste,550
Aguilar,Sudeste,143
Aguilherme,Sudeste,12
Aguimar,Sudeste,238
Aguina,Sudeste,11
Aguinalda,Sudeste,19
Aguinaldo,Sudeste,10427
Aguinelo,Sudeste,59
Aguines,Sudeste,60
Aguita,Sudeste,10
Agunaldo,Sudeste,11
Agustavo,Sudeste,16
Agustin,Sudeste,37
Agustina,Sudeste,14
Agustinha,Sudeste,26
Agustinho,Sudeste,227
Agustino,Sudeste,21
Agusto,Sudeste,84
Aharon,Sudeste,12
Ahmad,Sudeste,155
Ahmed,Sudeste,56
Ahn,Sudeste,13
Ai,Sudeste,19
Aiako,Sudeste,21
Aiala,Nordeste,350
Aiale,Nordeste,11
Aian,Nordeste,11
Aiana,Nordeste,188
Aianda,Sudeste,21
Aiandra,Sudeste,88
Aiane,Nordeste,434
Aiara,Sudeste,23
Aias,Sudeste,12
Aice,Sudeste,11
Aicha,Sudeste,51
Aico,Sudeste,17
Aid,Sudeste,13
Aida,Sudeste,2860
Aidalva,Nordeste,17
Aidan,Sudeste,38
Aide,Sudeste,2022
Aidee,Sudeste,49
Aider,Sudeste,17
Aides,Sudeste,28
Aidil,Nordeste,607
Aidilma,Nordeste,13
Aidio,Nordeste,15
Aiesca,Sudeste,12
Aieska,Sudeste,13
Aiko,Sudeste,222
Aila,Nordeste,3304
Ailan,Nordeste,69
Ailana,Nordeste,247
Ailane,Nordeste,196
Ailce,Sudeste,17
Ailda,Nordeste,198
Ailde,Sudeste,21
Aildes,Nordeste,36
Aildil,Nordeste,14
Aildo,Sudeste,66
Ailla,Nordeste,23
Ailma,Nordeste,163
Ailon,Centro-Oeste,52
Ailsa,Sudeste,35
Ailsom,Sudeste,31
Ailson,Sudeste,2278
Ailta,Sudeste,24
Ailto,Sudeste,150
Ailtom,Sudeste,1132
Ailton,Sudeste,49212
Ailza,Sudeste,286
Aimar,Sudeste,102
Aimara,Sudeste,15
Aime,Sudeste,180
Aimee,Sudeste,184
Aimone,Sudeste,12
Aimore,Sudeste,39
Aina,Sudeste,71
Ainara,Nordeste,25
Aine,Sudeste,71
Aingles,Nordeste,11
Ainoa,Sudeste,32
Ainoan,Nordeste,36
Ainton,Sudeste,37
Air,Sudeste,141
Aira,Sudeste,173
Airam,Sudeste,50
Airan,Nordeste,213
Airana,Nordeste,10
Airane,Nordeste,10
Aires,Sudeste,642
Airis,Sudeste,16
Airla,Nordeste,197
Airlane,Nordeste,11
Airles,Nordeste,35
Airlton,Sudeste,18
Airo,Sudeste,10
Airon,Nordeste,247
Airson,Sudeste,13
Airtes,Centro-Oeste,18
Airto,Sul,78
Airtom,Sul,171
Airton,Sudeste,15389
Aisa,Sudeste,28
Aisabela,Sudeste,11
Aisha,Sudeste,225
Aisla,Nordeste,139
Aislan,Nordeste,592
Aislane,Nordeste,60
Aison,Sudeste,15
Aissa,Nordeste,54
Aitana,Nordeste,16
Aitom,Sudeste,14
Aiton,Sudeste,398
Aiuton,Sudeste,13
Aix,Sudeste,11
Aixa,Sudeste,10
Aiza,Sudeste,24
Ajax,Norte,69
Ajenor,Sudeste,25
Ajoao,Sudeste,22
Ajose,Sudeste,42
Ajuliana,Sudeste,10
Ajurimar,Nordeste,28
Akauan,Sudeste,13
Akberto,Sudeste,10
Akel,Norte,15
Akeme,Sudeste,16
Akemi,Sudeste,400
Akemy,Sudeste,15
Akessandra,Sudeste,34
Akessandro,Sudeste,13
Akex,Sudeste,20
Akexandre,Sudeste,104
Aki,Sudeste,22
Akice,Sudeste,11
Akie,Sudeste,35
Akihiro,Sudeste,17
Akiko,Sudeste,352
Akila,Sudeste,67
Akiles,Sudeste,12
Akimi,Sudeste,12
Akin,Sudeste,10
Akine,Sudeste,25
Akinori,Sudeste,14
Akio,Sudeste,144
Akira,Sudeste,575
Akram,Sudeste,10
Ala,Nordeste,66
Alace,Norte,51
Alaci,Norte,70
Alacid,Norte,52
Alacide,Norte,63
Alacir,Sudeste,54
Aladia,Sudeste,59
Aladim,Sudeste,58
Aladin,Sudeste,30
Aladio,Sudeste,28
Aladir,Sudeste,225
Alaecio,Sudeste,32
Alaelson,Nordeste,82
Alaene,Centro-Oeste,23
Alaercio,Sudeste,110
Alaerte,Sudeste,48
Alaete,Sudeste,10
Alaf,Norte,59
Alafe,Norte,43
Alafi,Sudeste,13
Alai,Sudeste,40
Alaiane,Sudeste,13
Alaice,Sudeste,16
Alaide,Sudeste,15875
Alaides,Sul,552
Alaidi,Sudeste,43
Alailson,Norte,410
Alailton,Sudeste,102
Alaim,Sudeste,43
Alain,Sudeste,239
Alaina,Sudeste,26
Alaine,Nordeste,438
Alair,Sudeste,5792
Alairton,Nordeste,23
Alais,Sudeste,129
Alaisa,Sudeste,11
Alaise,Norte,31
Alaison,Norte,13
Alaize,Sudeste,10
Alam,Sudeste,1615
Alamir,Sudeste,182
Alamiro,Sudeste,11
Alamo,Nordeste,94
Alan,Sudeste,86732
Alana,Nordeste,23825
Alanda,Sudeste,67
Alandelon,Nordeste,10
